,srcDistrictName,Number of Households issue Job Card Schedule Castes (SC),Number of Households issue Job Card Others,Total number of Households issue Job Card,Number of person days generated Scheduled Caste (SCs),Total number of person days generated,Families completed 100days Scheduled Caste (SCs),Families completed 100days Others,Total Families completed 100 days,YearCode
6225,garo hills,0,0,27,0,2151,0,0,3,2021
6226,ri bhoi,0,0,251,0,7577,0,0,0,2021
6227,garo hills,0,2,9,0,900,0,2,9,2019
6228,garo hills,24,1,43,1862,2860,0,0,0,2021
6229,garo hills,0,0,57,0,3756,0,0,0,2017
6230,garo hills,0,0,46,0,4580,0,0,42,2018
6231,khasi hills,0,4,66,0,2106,0,0,0,2017
6232,garo hills,1,5,56,81,3807,0,0,0,2017
6233,khasi hills,0,0,73,0,4453,0,0,0,2015
6234,jaintia hills,0,0,149,0,11167,0,0,32,2016
6235,khasi hills,0,0,13,0,297,0,0,0,2019
6236,garo hills,0,1,42,0,4000,0,1,40,2018
6237,ri bhoi,0,0,56,0,3564,0,0,0,2016
6238,garo hills,0,170,170,0,5398,0,0,0,2017
6239,garo hills,0,0,77,0,6388,0,0,0,2018
6240,garo hills,0,2,97,0,8985,0,2,40,2021
6241,garo hills,0,0,54,0,5226,0,0,49,2018
6242,khasi hills,0,0,36,0,3291,0,0,0,2014
6243,khasi hills,0,0,96,0,528,0,0,0,2014
6244,khasi hills,0,0,35,0,1391,0,0,0,2017
6245,garo hills,0,5,71,0,7000,0,0,0,2020
6246,garo hills,0,3,92,0,9191,0,3,91,2019
6247,khasi hills,0,0,59,0,2698,0,0,0,2017
6248,khasi hills,0,0,41,0,162,0,0,0,2014
6249,khasi hills,0,0,100,0,7490,0,0,0,2014
6250,ri bhoi,0,0,27,0,1128,0,0,0,2019
6251,khasi hills,0,1,184,0,10544,0,0,0,2021
6252,khasi hills,0,0,153,0,14129,0,0,115,2021
6253,garo hills,0,0,10,0,974,0,0,0,2014
6254,khasi hills,0,0,371,0,10428,0,0,0,2017
6255,garo hills,0,1,164,0,14289,0,1,64,2021
6256,ri bhoi,0,1,59,0,5276,0,0,0,2017
6257,garo hills,0,1,47,0,3290,0,0,0,2017
6258,khasi hills,0,0,103,0,5416,0,0,0,2021
6259,garo hills,133,76,239,8476,15940,0,0,0,2021
6260,garo hills,0,1,211,0,18857,0,0,0,2021
6261,ri bhoi,0,0,117,0,4434,0,0,0,2018
6262,khasi hills,0,0,36,0,1556,0,0,0,2019
6263,khasi hills,0,0,71,0,869,0,0,52,2014
6264,garo hills,0,2,77,0,3705,0,0,0,2020
6265,garo hills,0,1,59,0,5600,0,1,56,2018
6266,khasi hills,0,0,257,0,12625,0,0,0,2016
6267,khasi hills,0,2,135,0,4686,0,0,0,2021
6268,garo hills,0,2,50,0,5000,0,2,50,2020
6269,garo hills,0,13,124,0,11548,0,12,110,2019
6270,khasi hills,0,0,14,0,1074,0,0,0,2015
6271,garo hills,0,15,72,0,4365,0,0,0,2019
6272,garo hills,0,0,38,0,3300,0,0,33,2021
6273,garo hills,0,0,30,0,1430,0,0,0,2019
6274,garo hills,0,4,159,0,11140,0,0,0,2017
6275,garo hills,1,0,77,0,6700,0,0,67,2021
6276,garo hills,0,1,28,0,3995,0,1,38,2020
6277,khasi hills,0,0,123,0,12035,0,0,14,2019
6278,garo hills,0,1,63,0,4740,0,4,100,2015
6279,khasi hills,0,0,27,0,1272,0,0,0,2017
6280,garo hills,0,0,18,0,1544,0,0,2,2016
6281,khasi hills,0,0,29,0,1508,0,0,0,2017
6282,garo hills,0,0,16,0,150,0,0,0,2014
6283,garo hills,0,0,71,0,6271,0,0,0,2020
6284,garo hills,0,4,123,0,7910,0,0,0,2017
6285,khasi hills,0,0,55,0,0,0,0,0,2014
6286,garo hills,0,1,21,0,2100,0,1,21,2019
6287,garo hills,0,0,11,0,980,0,0,0,2017
6288,garo hills,0,0,102,0,7078,0,0,0,2014
6289,khasi hills,0,0,49,0,4900,0,0,49,2019
6290,garo hills,0,1,65,0,6062,0,0,0,2017
6291,khasi hills,0,0,54,0,0,0,0,0,2015
6292,garo hills,0,0,56,0,5600,0,0,56,2019
6293,khasi hills,0,0,137,0,0,0,0,0,2016
6294,khasi hills,0,0,166,0,0,0,0,0,2015
6295,garo hills,54,22,111,860,1320,0,0,0,2017
6296,jaintia hills,0,0,22,0,27,0,0,0,2021
6297,garo hills,0,0,40,0,3920,0,0,0,2017
6298,garo hills,0,2,21,0,1892,0,0,1,2021
6299,khasi hills,0,0,34,0,417,0,0,0,2021
6300,garo hills,0,0,31,0,1488,0,0,0,2020
6301,garo hills,0,3,40,0,2200,0,0,0,2015
6302,khasi hills,0,0,35,0,1861,0,0,2,2017
6303,garo hills,1,1,31,100,2700,1,0,26,2021
6304,garo hills,0,1,41,0,3882,0,1,38,2019
6305,garo hills,0,0,112,0,10751,0,0,86,2019
6306,khasi hills,0,0,53,0,690,0,0,0,2018
6307,jaintia hills,0,0,18,0,468,0,0,0,2014
6308,garo hills,0,1,78,0,6738,0,0,0,2021
6309,garo hills,0,0,8,0,1000,0,0,10,2016
6310,khasi hills,0,1,149,0,12365,0,0,4,2021
6311,ri bhoi,11,63,326,13,827,0,0,0,2019
6312,khasi hills,0,0,2,0,0,0,0,0,2018
6313,jaintia hills,0,0,24,0,1322,0,0,3,2018
6314,garo hills,1,0,64,0,0,0,0,0,2019
6315,garo hills,0,151,152,0,12072,0,0,0,2019
6316,garo hills,0,1,75,0,7337,0,1,73,2018
6317,jaintia hills,0,0,164,0,0,0,0,0,2018
6318,khasi hills,0,0,115,0,2814,0,0,0,2017
6319,khasi hills,0,0,56,0,1800,0,0,0,2017
6320,khasi hills,0,0,29,0,2370,0,0,13,2016
6321,khasi hills,0,0,115,0,10479,0,0,99,2018
6322,garo hills,0,1,133,0,12003,0,0,114,2020
6323,khasi hills,0,0,22,0,1974,0,0,17,2021
6324,garo hills,0,6,52,0,4367,0,0,33,2021
6325,garo hills,0,0,15,0,0,0,0,0,2014
6326,khasi hills,0,0,93,0,6684,0,0,12,2017
6327,garo hills,0,353,353,0,13704,0,0,0,2018
6328,khasi hills,0,0,47,0,3400,0,0,0,2017
6329,garo hills,0,0,24,0,2500,0,0,25,2018
6330,garo hills,0,0,49,0,4900,0,0,49,2021
6331,khasi hills,0,3,81,0,4902,0,0,0,2020
6332,jaintia hills,0,0,87,0,2752,0,0,0,2018
6333,garo hills,0,0,50,0,3936,0,0,0,2016
6334,khasi hills,0,0,122,0,7172,0,0,12,2018
6335,khasi hills,0,0,77,0,1600,0,0,0,2016
6336,garo hills,0,2,243,0,18583,0,0,0,2021
6337,khasi hills,0,0,45,0,3332,0,0,19,2020
6338,khasi hills,0,0,103,0,9400,0,0,94,2016
6339,garo hills,0,0,82,0,2921,0,0,0,2020
6340,ri bhoi,0,5,285,0,0,0,0,0,2021
6341,garo hills,0,3,100,0,10000,0,3,100,2018
6342,khasi hills,0,0,141,0,0,0,0,0,2020
6343,garo hills,0,1,65,0,6200,0,1,60,2014
6344,garo hills,0,0,8,0,0,0,0,0,2017
6345,garo hills,0,0,26,0,2352,0,0,0,2014
6346,garo hills,0,0,97,0,8200,0,0,82,2016
6347,garo hills,0,0,43,0,2080,0,0,0,2018
6348,garo hills,0,0,18,0,1350,0,0,0,2015
6349,khasi hills,0,0,78,0,0,0,0,0,2015
6350,garo hills,0,0,50,0,3805,0,0,0,2015
6351,garo hills,0,0,4,0,0,0,0,0,2017
6352,khasi hills,0,4,173,0,7270,0,0,0,2014
6353,garo hills,3,0,83,150,3200,0,0,0,2020
6354,garo hills,0,0,58,0,5800,0,0,58,2021
6355,garo hills,23,3,63,1802,5015,0,0,0,2018
6356,khasi hills,0,0,90,0,3246,0,0,1,2018
6357,garo hills,1,19,77,0,4711,0,0,0,2016
6358,garo hills,0,1,51,0,4604,0,0,41,2020
6359,khasi hills,0,0,39,0,2500,0,0,0,2017
6360,ri bhoi,0,0,49,0,1944,0,0,0,2015
6361,garo hills,0,0,26,0,905,0,0,0,2014
6362,khasi hills,0,0,46,0,0,0,0,0,2017
6363,garo hills,0,1,50,0,4600,0,1,46,2017
6364,garo hills,0,0,96,0,8900,0,0,89,2019
6365,khasi hills,0,0,13,0,20,0,0,0,2021
6366,garo hills,0,0,6,0,600,0,0,6,2019
6367,jaintia hills,0,0,1391,0,14069,0,0,0,2020
6368,jaintia hills,0,2,202,0,0,0,0,0,2014
6369,khasi hills,0,0,84,0,5375,0,0,3,2017
6370,jaintia hills,0,1,81,0,3382,0,0,0,2021
6371,khasi hills,0,0,16,0,1466,0,0,0,2015
6372,garo hills,0,0,27,0,1400,0,0,14,2016
6373,khasi hills,0,0,38,0,3645,0,0,34,2020
6374,garo hills,0,1,23,0,644,0,0,0,2016
6375,garo hills,0,2,32,0,2300,0,0,0,2014
6376,khasi hills,0,0,20,0,2000,0,0,20,2021
6377,khasi hills,0,1,107,0,10472,0,1,98,2019
6378,garo hills,0,0,46,0,4365,0,0,0,2017
6379,garo hills,0,0,48,0,4655,0,0,38,2021
6380,jaintia hills,0,0,21,0,414,0,0,0,2015
6381,ri bhoi,0,1,37,0,1419,0,0,0,2017
6382,khasi hills,0,0,16,0,1063,0,0,0,2021
6383,garo hills,0,6,159,0,15706,0,0,0,2016
6384,garo hills,0,8,32,0,1344,0,0,0,2016
6385,garo hills,0,3,48,0,4682,0,1,40,2018
6386,khasi hills,0,0,51,0,3461,0,0,31,2021
6387,jaintia hills,0,1,319,0,7992,0,0,0,2018
6388,garo hills,0,0,73,0,4508,0,0,0,2018
6389,jaintia hills,0,0,55,0,1128,0,0,2,2017
6390,khasi hills,0,0,43,0,3538,0,0,26,2021
6391,khasi hills,0,0,50,0,768,0,0,0,2015
6392,garo hills,0,0,43,0,4116,0,0,0,2015
6393,khasi hills,0,0,61,0,1800,0,0,0,2015
6394,jaintia hills,0,0,468,0,5343,0,0,0,2021
6395,garo hills,0,0,32,0,3039,0,0,0,2016
6396,khasi hills,0,0,63,0,190,0,0,0,2020
6397,jaintia hills,0,1,161,0,6882,0,0,0,2020
6398,jaintia hills,0,0,8,0,98,0,0,0,2014
6399,garo hills,0,2,59,0,4787,0,0,36,2020
6400,khasi hills,0,3,55,0,1917,0,0,0,2020
6401,ri bhoi,0,0,174,0,99,0,0,0,2018
6402,garo hills,0,1,70,0,6996,0,1,69,2017
6403,khasi hills,0,0,117,0,6000,0,0,0,2016
6404,khasi hills,0,0,56,0,0,0,0,0,2015
6405,garo hills,0,1,53,0,5296,0,1,52,2020
6406,khasi hills,0,0,21,0,2000,0,0,0,2015
6407,garo hills,0,0,95,0,8741,0,0,47,2018
6408,jaintia hills,0,1,282,0,15034,0,0,12,2020
6409,garo hills,0,1,157,0,11824,0,1,65,2020
6410,garo hills,0,0,12,0,312,0,0,0,2014
6411,khasi hills,0,0,22,0,1990,0,0,0,2016
6412,garo hills,0,0,70,0,3396,0,0,0,2016
6413,ri bhoi,0,1,34,0,2407,0,0,3,2021
6414,garo hills,0,1,37,0,3539,0,0,0,2020
6415,khasi hills,0,0,39,0,0,0,0,0,2018
6416,garo hills,54,18,209,3695,13591,0,0,0,2020
6417,garo hills,0,0,33,0,3300,0,0,33,2019
6418,garo hills,3,3,207,192,18570,0,1,111,2021
6419,jaintia hills,0,0,71,0,1763,0,0,0,2015
6420,garo hills,0,0,75,0,6890,0,0,68,2018
6421,garo hills,3,4,116,168,5432,0,0,0,2015
6422,garo hills,0,0,204,0,8358,0,0,0,2014
6423,garo hills,0,0,82,0,3870,0,0,0,2014
6424,khasi hills,0,0,159,0,2310,0,0,0,2014
6425,garo hills,0,0,55,0,5500,0,0,55,2019
6426,khasi hills,0,0,19,0,1636,0,0,1,2019
6427,khasi hills,0,0,35,0,608,0,0,0,2020
6428,garo hills,0,1,41,0,2730,0,0,0,2021
6429,khasi hills,0,0,35,0,1785,0,0,0,2017
6430,garo hills,33,3,160,3094,13642,0,0,0,2020
6431,garo hills,0,0,16,0,1515,0,0,15,2017
6432,garo hills,0,1,169,0,6936,0,0,0,2014
6433,ri bhoi,0,1,159,0,8872,0,0,17,2020
6434,khasi hills,0,0,323,0,27166,0,0,9,2019
6435,garo hills,0,2,20,0,1500,0,0,0,2015
6436,khasi hills,0,0,0,0,0,0,0,0,2016
6437,garo hills,0,0,0,0,0,0,0,0,2016
6438,khasi hills,0,0,40,0,1841,0,0,0,2015
6439,garo hills,0,0,56,0,2917,0,0,0,2014
6440,garo hills,0,0,47,0,0,0,0,0,2020
6441,garo hills,0,3,107,0,9375,0,3,87,2018
6442,khasi hills,0,0,21,0,0,0,0,0,2016
6443,garo hills,0,0,28,0,2720,0,0,27,2018
6444,garo hills,0,0,14,0,1100,0,0,11,2019
6445,garo hills,0,0,103,0,7693,0,0,0,2016
6446,garo hills,0,1,126,0,12600,0,1,126,2018
6447,garo hills,0,1,93,0,8600,0,0,80,2017
6448,garo hills,0,0,64,0,4733,0,0,0,2016
6449,khasi hills,0,1,64,0,2219,0,0,0,2021
6450,garo hills,0,1,60,0,5656,0,1,56,2020
6451,khasi hills,0,0,138,0,9963,0,0,0,2017
6452,khasi hills,0,0,29,0,1948,0,0,0,2017
6453,garo hills,0,3,229,0,19629,0,0,5,2018
6454,jaintia hills,0,0,148,0,5999,0,0,0,2021
6455,garo hills,0,2,35,0,3400,0,2,34,2019
6456,jaintia hills,0,0,36,0,0,0,0,0,2014
6457,garo hills,0,1,74,0,7241,0,0,11,2021
6458,jaintia hills,0,0,470,0,12429,0,0,0,2019
6459,jaintia hills,0,0,336,0,15730,0,0,0,2018
6460,garo hills,0,0,62,0,6000,0,0,60,2016
6461,garo hills,0,0,63,0,3030,0,0,0,2021
6462,khasi hills,0,1,63,0,6300,0,1,63,2019
6463,garo hills,0,0,100,0,1293,0,0,11,2018
6464,khasi hills,0,0,67,0,2160,0,0,0,2017
6465,khasi hills,0,0,65,0,4785,0,0,15,2018
6466,garo hills,0,137,137,0,5831,0,0,0,2017
6467,garo hills,0,0,49,0,4900,0,0,49,2019
6468,garo hills,0,1,35,0,3500,0,1,35,2021
6469,khasi hills,0,0,33,0,0,0,0,0,2018
6470,ri bhoi,1,2,160,12,2834,0,0,0,2019
6471,garo hills,0,1,109,0,9456,0,0,87,2017
6472,garo hills,1,1,106,98,10464,0,1,88,2018
6473,khasi hills,0,0,39,0,2172,0,0,0,2017
6474,garo hills,0,0,49,0,442,0,0,0,2014
6475,garo hills,0,0,56,0,4532,0,0,1,2020
6476,ri bhoi,0,0,21,0,378,0,0,0,2017
6477,garo hills,0,0,64,0,4611,0,0,26,2020
6478,garo hills,0,0,36,0,2880,0,0,0,2014
6479,ri bhoi,0,0,91,0,8459,0,0,61,2019
6480,khasi hills,0,0,30,0,1100,0,0,0,2017
6481,khasi hills,0,0,166,0,7824,0,0,3,2019
6482,khasi hills,0,0,44,0,0,0,0,0,2014
6483,garo hills,0,1,50,0,4500,0,1,45,2016
6484,garo hills,0,0,28,0,2600,0,0,26,2020
6485,garo hills,0,2,35,0,3216,0,1,23,2020
6486,jaintia hills,0,0,59,0,5249,0,0,51,2019
6487,garo hills,0,0,32,0,3200,0,0,0,2014
6488,jaintia hills,0,0,0,0,0,0,0,0,2016
6489,garo hills,0,0,100,0,9587,0,0,95,2016
6490,garo hills,0,0,70,0,5100,0,0,0,2016
6491,garo hills,0,0,48,0,4800,0,0,48,2017
6492,khasi hills,0,0,63,0,3311,0,0,0,2021
6493,garo hills,0,0,24,0,1673,0,0,0,2015
6494,garo hills,0,0,100,0,9310,0,0,0,2020
6495,khasi hills,0,0,129,0,12048,0,0,86,2019
6496,khasi hills,0,1,38,0,3179,0,0,3,2018
6497,garo hills,0,0,76,0,5170,0,0,0,2017
6498,ri bhoi,0,0,20,0,228,0,0,0,2014
6499,garo hills,0,1,102,0,2693,0,0,0,2018
6500,jaintia hills,0,0,423,0,24075,0,0,0,2021
6501,khasi hills,0,0,53,0,3972,0,0,4,2019
6502,khasi hills,0,0,60,0,2063,0,0,0,2016
6503,ri bhoi,0,0,101,0,8252,0,0,65,2016
6504,khasi hills,0,0,51,0,2040,0,0,0,2015
6505,khasi hills,0,0,9,0,900,0,0,9,2021
6506,khasi hills,3,0,49,300,4473,3,0,42,2021
6507,khasi hills,0,0,56,0,1164,0,0,0,2021
6508,garo hills,0,256,256,0,20278,0,0,0,2018
6509,jaintia hills,0,0,197,0,8347,0,0,0,2021
6510,garo hills,0,3,95,0,6950,0,0,0,2016
6511,garo hills,0,0,59,0,5662,0,0,55,2021
6512,khasi hills,0,0,12,0,450,0,0,0,2017
6513,khasi hills,0,0,26,0,204,0,0,0,2014
6514,khasi hills,0,0,27,0,2510,0,0,0,2021
6515,khasi hills,0,0,38,0,1520,0,0,0,2015
6516,garo hills,0,0,58,0,4574,0,0,0,2017
6517,garo hills,0,1,127,0,12667,0,1,125,2018
6518,garo hills,0,0,45,0,4490,0,0,35,2020
6519,khasi hills,0,0,198,0,15966,0,0,57,2021
6520,garo hills,0,0,124,0,11183,0,0,111,2018
6521,garo hills,0,0,18,0,1800,0,0,18,2018
6522,garo hills,0,0,0,0,0,0,0,0,2017
6523,khasi hills,0,0,85,0,5936,0,0,35,2021
6524,khasi hills,0,0,24,0,1836,0,0,2,2018
6525,ri bhoi,0,0,21,0,420,0,0,0,2017
6526,garo hills,0,0,30,0,1816,0,0,0,2018
6527,garo hills,0,2,46,0,440,0,0,0,2014
6528,garo hills,0,1,35,0,2700,0,0,0,2018
6529,garo hills,0,0,26,0,2600,0,0,26,2018
6530,garo hills,0,2,82,0,2460,0,0,0,2014
6531,garo hills,0,0,20,0,1390,0,0,0,2019
6532,khasi hills,0,0,11,0,300,0,0,0,2015
6533,khasi hills,0,0,26,0,1148,0,0,0,2014
6534,garo hills,0,11,121,0,12067,0,11,120,2019
6535,garo hills,0,0,41,0,2246,0,0,0,2019
6536,garo hills,0,3,115,0,3616,0,0,0,2014
6537,garo hills,0,3,71,0,5940,0,2,56,2020
6538,khasi hills,0,0,51,0,2672,0,0,15,2020
6539,jaintia hills,0,0,49,0,4190,0,0,31,2018
6540,khasi hills,0,0,52,0,4700,0,0,0,2019
6541,khasi hills,0,0,37,0,2911,0,0,7,2018
6542,khasi hills,0,0,56,0,1925,0,0,0,2014
6543,khasi hills,0,0,101,0,5784,0,0,17,2018
6544,khasi hills,0,0,281,0,14100,0,0,10,2016
6545,khasi hills,0,0,40,0,0,0,0,0,2015
6546,khasi hills,0,0,43,0,3901,0,0,0,2014
6547,ri bhoi,0,0,30,0,1924,0,0,0,2015
6548,khasi hills,0,0,65,0,4670,0,0,0,2019
6549,khasi hills,0,0,41,0,3091,0,0,24,2019
6550,khasi hills,0,0,13,0,364,0,0,0,2020
6551,jaintia hills,0,0,132,0,3758,0,0,0,2020
6552,garo hills,0,0,105,0,5042,0,0,0,2014
6553,khasi hills,0,0,224,0,1313,0,0,0,2019
6554,khasi hills,0,0,53,0,3279,0,0,0,2021
6555,garo hills,0,0,33,0,3300,0,0,33,2021
6556,garo hills,0,1,115,0,11200,0,0,112,2017
6557,khasi hills,0,0,596,0,45448,0,0,148,2018
6558,garo hills,0,0,94,0,8992,0,0,0,2018
6559,garo hills,0,0,140,0,14000,0,0,140,2018
6560,khasi hills,0,0,85,0,4758,0,0,0,2019
6561,khasi hills,0,0,160,0,13191,0,0,11,2019
6562,khasi hills,0,1,39,0,1421,0,0,0,2020
6563,garo hills,0,3,97,0,9700,0,3,97,2021
6564,khasi hills,0,0,80,0,6947,0,0,31,2016
6565,khasi hills,0,0,19,0,336,0,0,0,2020
6566,garo hills,0,0,101,0,9400,0,0,0,2014
6567,ri bhoi,0,1,103,0,8064,0,0,0,2020
6568,garo hills,0,0,59,0,5575,0,0,53,2020
6569,khasi hills,0,0,16,0,65,0,0,0,2021
6570,garo hills,0,1,70,0,7000,0,1,70,2020
6571,garo hills,0,0,60,0,6000,0,0,60,2016
6572,jaintia hills,0,0,71,0,2760,0,0,0,2018
6573,garo hills,0,1,61,0,2049,0,0,0,2020
6574,garo hills,0,3,44,0,4171,0,0,0,2014
6575,khasi hills,0,0,25,0,1680,0,0,0,2015
6576,khasi hills,0,0,37,0,2822,0,0,0,2021
6577,khasi hills,0,0,91,0,8186,0,0,0,2017
6578,jaintia hills,0,0,59,0,1408,0,0,0,2018
6579,garo hills,0,13,60,0,4388,0,0,32,2016
6580,ri bhoi,0,0,50,0,4476,0,0,15,2015
6581,garo hills,0,3,158,0,3724,0,0,0,2019
6582,garo hills,0,4,126,0,8555,0,0,0,2017
6583,khasi hills,0,0,16,0,1200,0,0,2,2016
6584,khasi hills,0,0,39,0,1926,0,0,0,2014
6585,garo hills,0,0,40,0,3900,0,0,39,2017
6586,garo hills,0,2,50,0,4240,0,3,93,2015
6587,khasi hills,0,1,49,0,3118,0,0,5,2017
6588,garo hills,0,0,23,0,1886,0,0,0,2018
6589,garo hills,0,2,36,0,3500,0,2,35,2017
6590,garo hills,0,2,59,0,3845,0,0,0,2016
6591,khasi hills,0,0,150,0,8559,0,0,0,2014
6592,garo hills,0,0,89,0,7164,0,0,65,2019
6593,garo hills,0,0,29,0,2900,0,0,29,2020
6594,khasi hills,0,0,60,0,3530,0,0,6,2015
6595,garo hills,0,0,67,0,6470,0,0,53,2018
6596,garo hills,0,0,34,0,3200,0,0,32,2016
6597,garo hills,0,3,97,0,3714,0,0,0,2014
6598,khasi hills,0,0,78,0,1752,0,0,0,2015
6599,ri bhoi,8,19,232,0,0,0,0,0,2017
6600,garo hills,0,0,63,0,3902,0,0,0,2016
6601,garo hills,0,0,66,0,5400,0,0,54,2017
6602,khasi hills,0,0,58,0,0,0,0,0,2014
6603,garo hills,0,416,416,0,16411,0,0,0,2018
6604,garo hills,0,0,10,0,750,0,0,0,2015
6605,garo hills,6,3,49,144,1176,0,0,0,2014
6606,garo hills,0,5,69,0,6054,0,0,62,2015
6607,garo hills,0,0,102,0,5156,0,0,0,2014
6608,garo hills,0,0,38,0,3800,0,0,38,2017
6609,garo hills,0,0,120,0,4830,0,0,0,2018
6610,garo hills,0,1,89,0,6106,0,0,0,2016
6611,garo hills,0,0,30,0,3030,0,0,30,2017
6612,garo hills,0,0,28,0,2892,0,0,28,2016
6613,garo hills,0,0,21,0,2100,0,0,21,2020
6614,khasi hills,0,0,43,0,752,0,0,0,2015
6615,khasi hills,0,0,238,0,13266,0,0,0,2014
6616,garo hills,0,3,43,0,4273,0,1,25,2021
6617,khasi hills,0,0,44,0,4125,0,0,0,2014
6618,khasi hills,0,0,0,0,0,0,0,0,2015
6619,khasi hills,0,0,192,0,1886,0,0,0,2014
6620,khasi hills,0,0,74,0,1851,0,0,3,2018
6621,khasi hills,0,0,14,0,716,0,0,0,2015
6622,khasi hills,0,0,213,0,2178,0,0,39,2015
6623,garo hills,0,0,10,0,280,0,0,0,2017
6624,garo hills,0,0,70,0,3264,0,0,0,2014
6625,garo hills,0,1,50,0,4760,0,0,0,2020
6626,khasi hills,0,0,74,0,6220,0,0,5,2017
6627,khasi hills,0,0,160,0,14394,0,0,123,2021
6628,jaintia hills,0,0,53,0,3431,0,0,0,2018
6629,khasi hills,0,0,14,0,420,0,0,0,2015
6630,garo hills,0,1,51,0,4090,0,0,0,2017
6631,ri bhoi,0,0,78,0,3918,0,0,0,2014
6632,garo hills,34,2,246,1584,11136,0,0,0,2015
6633,garo hills,0,5,42,0,3981,0,0,0,2019
6634,garo hills,0,0,80,0,7966,0,0,65,2019
6635,garo hills,0,13,99,0,5457,0,0,0,2017
6636,khasi hills,0,2,351,0,9752,0,0,0,2020
6637,khasi hills,0,0,134,0,431,0,0,0,2017
6638,khasi hills,0,0,102,0,9848,0,0,57,2017
6639,khasi hills,0,0,33,0,2698,0,0,20,2020
6640,garo hills,1,5,268,28,10665,0,0,1,2016
6641,garo hills,0,0,25,0,1004,0,0,0,2014
6642,garo hills,0,0,42,0,3459,0,0,17,2021
6643,ri bhoi,0,0,30,0,913,0,0,0,2018
6644,ri bhoi,0,14,80,0,1428,0,0,0,2021
6645,khasi hills,0,0,192,0,5145,0,0,6,2019
6646,khasi hills,0,0,32,0,0,0,0,0,2015
6647,garo hills,0,27,93,0,6719,0,18,32,2021
6648,ri bhoi,0,0,47,0,2080,0,0,13,2020
6649,garo hills,0,1,10,0,800,0,1,8,2016
6650,garo hills,0,1,68,0,5200,0,0,0,2014
6651,garo hills,0,1,76,0,7395,0,1,73,2018
6652,garo hills,0,171,171,0,3810,0,0,0,2015
6653,garo hills,0,0,36,0,2898,0,0,0,2016
6654,khasi hills,0,0,165,0,6577,0,0,3,2019
6655,ri bhoi,0,0,47,0,1227,0,0,5,2015
6656,khasi hills,0,0,278,0,6156,0,0,6,2019
6657,khasi hills,0,0,21,0,1588,0,0,0,2014
6658,jaintia hills,6,0,123,168,3416,0,0,0,2021
6659,garo hills,0,0,43,0,4300,0,0,43,2017
6660,garo hills,0,0,38,0,3700,0,0,37,2016
6661,garo hills,0,0,195,0,18386,0,0,138,2019
6662,garo hills,1,0,24,100,2400,1,0,24,2021
6663,khasi hills,0,0,19,0,893,0,0,0,2016
6664,garo hills,0,0,49,0,0,0,0,0,2021
6665,khasi hills,0,0,186,0,10345,0,0,7,2018
6666,garo hills,0,0,58,0,3960,0,0,19,2016
6667,ri bhoi,0,1,37,0,840,0,0,0,2014
6668,ri bhoi,0,0,57,0,1056,0,0,18,2015
6669,garo hills,0,1,46,0,4600,0,1,46,2019
6670,khasi hills,0,0,75,0,0,0,0,0,2021
6671,garo hills,0,0,14,0,1130,0,0,0,2015
6672,khasi hills,0,0,44,0,2100,0,0,0,2016
6673,ri bhoi,0,0,50,0,2862,0,0,0,2015
6674,garo hills,0,0,34,0,1020,0,0,0,2014
6675,ri bhoi,0,0,115,0,8288,0,0,27,2018
6676,garo hills,0,0,53,0,4848,0,0,0,2021
6677,garo hills,0,1,61,0,5856,0,1,57,2021
6678,garo hills,0,4,39,0,1987,0,0,0,2015
6679,garo hills,0,0,55,0,4057,0,0,0,2018
6680,garo hills,0,0,12,0,1140,0,0,0,2015
6681,ri bhoi,0,0,22,0,984,0,0,0,2015
6682,khasi hills,0,0,86,0,1652,0,0,0,2014
6683,khasi hills,0,0,36,0,2522,0,0,0,2016
6684,garo hills,0,0,81,0,2580,0,0,0,2014
6685,garo hills,0,0,60,0,6000,0,0,60,2017
6686,khasi hills,0,0,17,0,1000,0,0,0,2017
6687,ri bhoi,0,0,36,0,2670,0,0,3,2019
6688,garo hills,0,0,71,0,2100,0,0,0,2014
6689,ri bhoi,0,0,26,0,1728,0,0,0,2015
6690,garo hills,0,0,13,0,1300,0,0,13,2021
6691,garo hills,0,0,77,0,7700,0,0,77,2021
6692,jaintia hills,0,0,149,0,13740,0,0,137,2019
6693,garo hills,0,4,99,0,8500,0,4,83,2019
6694,garo hills,0,1,92,0,8940,0,1,58,2018
6695,khasi hills,0,0,101,0,5153,0,0,4,2021
6696,garo hills,14,113,128,0,0,0,0,0,2017
6697,garo hills,0,0,79,0,2312,0,0,0,2014
6698,khasi hills,0,0,200,0,11229,0,0,51,2020
6699,garo hills,0,0,67,0,742,0,0,0,2014
6700,jaintia hills,0,0,107,0,7380,0,0,0,2015
6701,garo hills,0,2,33,0,1450,0,0,0,2014
6702,khasi hills,0,0,43,0,2453,0,0,0,2020
6703,garo hills,0,0,23,0,1546,0,0,0,2017
6704,ri bhoi,0,0,42,0,4200,0,0,42,2017
6705,garo hills,0,0,154,0,9984,0,0,11,2020
6706,ri bhoi,0,0,74,0,1464,0,0,0,2015
6707,khasi hills,0,0,120,0,4000,0,0,0,2016
6708,ri bhoi,0,0,82,0,8200,0,0,0,2015
6709,garo hills,0,1,61,0,4700,0,1,47,2019
6710,khasi hills,0,0,40,0,2900,0,0,29,2021
