,srcDistrictName,Number of Households issue Job Card Schedule Castes (SC),Number of Households issue Job Card Others,Total number of Households issue Job Card,Number of person days generated Scheduled Caste (SCs),Total number of person days generated,Families completed 100days Scheduled Caste (SCs),Families completed 100days Others,Total Families completed 100 days,YearCode
31675,khasi hills,0,0,134,0,10455,0,0,93,2019
31676,garo hills,0,0,9,0,810,0,0,0,2018
31677,garo hills,0,1,40,0,3956,0,1,36,2020
31678,garo hills,0,0,0,0,0,0,0,0,2017
31679,garo hills,0,0,51,0,4501,0,0,39,2017
31680,garo hills,0,3,53,0,5000,0,3,50,2020
31681,garo hills,0,0,27,0,2640,0,0,25,2019
31682,ri bhoi,0,0,33,0,448,0,0,0,2014
31683,garo hills,0,0,57,0,3100,0,0,27,2017
31684,garo hills,0,0,44,0,4200,0,0,0,2015
31685,jaintia hills,0,1,122,0,4880,0,0,0,2016
31686,khasi hills,0,0,30,0,720,0,0,0,2014
31687,garo hills,0,1,41,0,3898,0,1,37,2021
31688,garo hills,0,3,61,0,5744,0,0,0,2019
31689,garo hills,0,0,233,0,20586,0,0,102,2019
31690,ri bhoi,0,2,71,0,5471,0,0,34,2021
31691,ri bhoi,0,0,36,0,1540,0,0,0,2017
31692,garo hills,0,0,28,0,1008,0,0,0,2014
31693,khasi hills,0,0,117,0,2334,0,0,0,2018
31694,garo hills,0,1,51,0,4737,0,1,41,2019
31695,garo hills,0,2,64,0,5000,0,2,50,2021
31696,garo hills,0,0,109,0,4901,0,0,0,2020
31697,garo hills,0,1,46,0,3000,0,0,30,2019
31698,garo hills,0,0,90,0,8800,0,0,88,2020
31699,ri bhoi,0,0,114,0,8350,0,0,0,2019
31700,garo hills,0,1,29,0,2900,0,1,29,2021
31701,garo hills,0,0,47,0,1782,0,0,0,2020
31702,ri bhoi,0,0,129,0,9669,0,0,10,2018
31703,garo hills,0,6,82,0,6965,0,5,59,2018
31704,garo hills,0,0,108,0,8548,0,0,0,2020
31705,jaintia hills,0,0,198,0,8619,0,0,0,2020
31706,garo hills,0,0,10,0,960,0,0,0,2016
31707,garo hills,0,1,64,0,5557,0,1,52,2020
31708,khasi hills,0,1,57,0,4496,0,1,3,2019
31709,khasi hills,0,0,25,0,276,0,0,0,2014
31710,khasi hills,0,0,16,0,1342,0,0,12,2016
31711,khasi hills,0,0,47,0,4658,0,0,39,2020
31712,khasi hills,0,0,36,0,0,0,0,0,2015
